price,guests,beds,bedrooms,baths,superhost,favourite,rating,reviews,latitude,longitude,area_Ampelokipoi-Menemeni,area_Evosmos,area_Stavroupoli,parking,view,self_checkin
40.8,4,2.0,1.0,1.0,1,0,4.0,132.0,40.6839,22.931,0,1,0,0,1,1
55.23,4,3.0,2.0,1.0,0,0,4.0,16.0,40.66373,22.91066,0,1,0,0,0,1
68.3,3,2.0,0.0,1.0,0,0,4.0,39.0,40.64328,22.92211,0,1,0,0,0,0
63.78,2,2.0,0.0,1.0,0,0,4.0,49.0,40.64555,22.92201,0,1,0,0,0,0
51.4,3,2.0,1.0,1.0,0,0,4.0,89.0,40.6415,22.9361,0,1,0,0,0,1
41.0,3,2.0,0.0,1.0,0,0,4.0,85.0,40.6415,22.9361,0,1,0,0,0,1
50.4,2,2.0,0.0,1.0,0,0,4.0,66.0,40.6401,22.9381,0,1,0,0,0,1
56.8,4,2.0,0.0,1.0,0,0,4.0,81.0,40.6401,22.9381,0,1,0,0,0,1
38.6,4,2.0,1.0,1.0,1,0,4.0,118.0,40.68479,22.93149,0,1,0,0,1,1
62.04,4,3.0,1.0,1.0,1,0,4.0,89.0,40.6836,22.9486,0,1,0,0,0,1
60.84,3,2.0,0.0,1.0,0,0,4.0,90.0,40.64084,22.93632,0,1,0,0,0,1
65.8,4,2.0,2.0,1.0,1,1,5.0,28.0,40.6727,22.9143,0,1,0,0,0,0
53.0,3,2.0,0.0,1.0,0,0,4.0,59.0,40.64279,22.93522,0,1,0,0,0,1
73.62,2,1.0,1.0,1.0,1,1,4.0,48.0,40.6685,22.9245,0,1,0,0,0,1
44.8,5,3.0,1.0,1.0,1,1,4.0,102.0,40.67751,22.93477,0,1,0,1,0,1
48.4,4,2.0,1.0,1.0,1,0,4.0,142.0,40.67678,22.93546,0,1,0,0,0,1
84.38,4,2.0,1.0,1.0,1,1,5.0,69.0,40.6628,22.9119,0,1,0,0,0,1
62.4,4,2.0,1.0,1.0,0,0,4.0,59.0,40.63953,22.93663,0,1,0,0,0,1
42.2,4,2.0,1.0,1.0,1,1,4.0,87.0,40.6778,22.9351,0,1,0,0,1,1
65.73,5,3.0,1.0,1.0,1,0,4.0,92.0,40.6778,22.9351,0,1,0,1,0,1
107.24,6,3.0,2.0,1.0,1,1,4.0,56.0,40.67755,22.9349,0,1,0,1,1,1
43.4,4,2.0,1.0,1.0,1,1,4.0,65.0,40.6662,22.9039,0,1,0,0,1,1
133.95,8,7.0,4.0,2.0,0,1,4.0,30.0,40.66867,22.92705,0,1,0,1,0,1
72.0,4,3.0,1.0,,1,0,4.0,12.0,40.65598,22.95299,0,1,0,0,0,1
44.0,5,2.0,1.0,1.0,1,0,4.0,82.0,40.6853,22.9301,0,1,0,0,1,1
48.0,3,2.0,0.0,1.0,1,1,4.0,72.0,40.66004,22.92959,0,1,0,1,0,1
37.0,5,2.0,1.0,1.0,1,0,4.0,75.0,40.6852,22.9303,0,1,0,0,1,1
91.07,4,3.0,2.0,1.0,1,1,4.0,79.0,40.6411,22.938,0,0,1,0,0,0
57.2,3,2.0,0.0,1.0,0,0,4.0,26.0,40.63813,22.93888,0,0,1,0,0,1
76.0,4,2.0,1.0,1.0,1,1,4.0,92.0,40.64361,22.928,0,0,1,0,0,1
229.0,17,10.0,7.0,2.0,0,0,4.0,17.0,40.5755,23.0104,0,0,1,1,0,1
47.64,2,1.0,1.0,1.0,0,0,4.0,71.0,40.64558847528183,22.92169199176557,0,0,1,0,1,1
